FASE,SUBFASE,SITUACIÓN,QUÉ DECIR (PALABRAS EXACTAS),NOTAS / CONTEXTO
ANTES DE SALIR,Regla #1,Lo que NUNCA dices,"Nunca digas: ""inteligencia artificial"", ""IA"", ""bot"", ""robot""",Dispara desconfianza y miedo en dueñas de salón
ANTES DE SALIR,Regla #2,Lo que NUNCA dices,"Nunca compares Floux con una recepcionista (""mejor que tu recepcionista"")",Dispara reacción defensiva sobre su gestión
ANTES DE SALIR,Regla #3,Lo que SIEMPRE dices,"Usa: ""sistema"", ""asistente"", ""asistente del salón"", ""tecnología""",Términos neutrales que no generan rechazo
ANTES DE SALIR,Regla #4,La frase core,"""Recuperamos las clientas que llaman cuando no puedes coger el teléfono""",Apréndetela de memoria — es tu ancla
ANTES DE SALIR,Regla #5,La demo es el argumento,"Sin demo, no hay venta. Todo lo demás es preparar el terreno para la demo.",La demo cierra sola si el pitch funciona

1 - PRIMER CONTACTO,Horario ideal,Cuándo ir,"11:30-12:30 o 17:30-18:30 — huecos de baja carga, entre citas",Nunca: 10h apertura / 13-14h cierre mañana / sábado mañana
1 - PRIMER CONTACTO,Entrada,Cómo entrar,"Entra despacio, no como vendedor. Mira alrededor. Si la dueña tiene las manos en el pelo de alguien, espera o vuelve.",Si ves señal roja (manos mojadas/tinte/pintura): di ""ahora no es buen momento, vuelvo luego"" y vete sin dejar nada

1 - PRIMER CONTACTO,Apertura A,Dueña tranquila y disponible,"""Hola, buenas. Soy Max. Tengo un sistema para salones que recupera las llamadas que se pierden cuando estáis liadas. ¿Tienes dos minutos para que te enseñe cómo funciona?""",No digas el nombre de la empresa en los primeros 5 segundos. Vas directo al beneficio.
1 - PRIMER CONTACTO,Apertura B,Dueña parece ocupada pero sin manos llenas,"""Hola, perdona que te interrumpa. Soy Max, tengo algo que le interesa a salones como el tuyo — dos minutos ¿o mejor vuelvo?""","Si dice ""vuelves"", concreta: ""¿Te viene bien esta tarde a las seis?"""
1 - PRIMER CONTACTO,Apertura C (hook),Si tienes research previo (reseña negativa),"""Vi que tenéis una reseña de enero donde una clienta dice que llamó varias veces y no le cogieron. Acabó yendo a otra peluquería. Eso es lo que me dedico a arreglar. ¿Tienes dos minutos?""",El hook específico DOBLA la atención. Prepáralo antes de entrar.

1 - PRIMER CONTACTO,Elevator pitch,Cuando tienes 30 segundos,"""Cuando una clienta llama al salón y no coges el teléfono, ¿qué pasa? O cuelga y llama al de al lado, o te deja un WhatsApp que lees dos horas después. Con Floux, en el momento en que no coges, le llega un WhatsApp automático desde el número del salón, le pregunta qué necesita, y le reserva la cita. Todo en el momento. La clienta no se va, se queda. ¿Te enseño cómo funciona en vivo?""",35 segundos. Termina SIEMPRE pidiendo hacer la demo.

1 - PRIMER CONTACTO,Dueña no está,Hablas con empleada,"""Perfecto, no hay problema. ¿Cómo se llama la dueña? ¿Y a qué hora suele estar por aquí normalmente?""","NO dejes tarjeta. NO expliques nada a la empleada — no tiene poder de decisión. Vuelves cuando esté la dueña."
1 - PRIMER CONTACTO,Dueña no está,Si insistes en dejar algo,"Papel escrito A MANO: ""Para [nombre dueña]: tengo algo para que no pierdas citas cuando estás liada. Max — [tu número]""",Escrito a mano > tarjeta impresa. Te distingue.

1 - PRIMER CONTACTO,Pedir WhatsApp,Para seguir la conversación,"""Mira, te lo enseño en cinco minutos pero con tu móvil — necesito que veas cómo llega el mensaje. ¿Me das tu WhatsApp y quedamos esta semana?""","""Para mandarte información"" suena a spam. ""Para que veas la demo en tu móvil"" tiene sentido práctico."
1 - PRIMER CONTACTO,Pedir WhatsApp,Si no te lo da pero quiere seguir,"""¿Puedo volver el jueves a esta hora?""","Concreta SIEMPRE. Nunca ""ya quedamos"" — eso es un no educado."

2 - CONVERSACIÓN VENTA,Discovery,Pregunta de dolor #1,"""¿Cuántas llamadas pierdes al día, más o menos, cuando estás con una clienta?""","Deja que responda. ESCUCHA. No interrumpas."
2 - CONVERSACIÓN VENTA,Discovery,Si dice ""pocas"" o ""casi ninguna"","""¿Y cuando hay una que no coges, qué pasa? ¿Te llaman de nuevo o te mandan WhatsApp?""",La ayudas a describir el problema con SUS palabras
2 - CONVERSACIÓN VENTA,Discovery,Si dice ""bastantes"" o ""uf muchas"","Asiente y deja que lo cuente. No interrumpas.",Ella se está convenciendo sola. Estás recogiendo munición.
2 - CONVERSACIÓN VENTA,Discovery,Pregunta de dolor #2,"""¿Y cuando ves el móvil después del servicio y tienes llamadas perdidas, sabes cuáles eran clientas nuevas o clientas fijas?""","Respuesta casi siempre: ""no"". Las fijas vuelven a llamar. Las nuevas no."

2 - CONVERSACIÓN VENTA,Discovery,Operativa actual,"""¿Cómo gestionáis las citas ahora mismo? ¿Tenéis app o todo por teléfono?""",Adapta el pitch según la respuesta
2 - CONVERSACIÓN VENTA,Discovery,Equipo,"""¿Cuántas personas hay en el equipo trabajando?""",Para dimensionar el problema de llamadas perdidas
2 - CONVERSACIÓN VENTA,Discovery,Plataformas,"""¿Tenéis Treatwell o Booksy, o solo el teléfono?""",Determina qué versión del pitch usar
2 - CONVERSACIÓN VENTA,Discovery,Impacto,"""Si una clienta nueva llama y no la coges, ¿qué hace normalmente? ¿Espera, manda WhatsApp, o se va?""","Deja que ELLA diga ""se va"". Cuando lo dice ella, el problema es real."

2 - CONVERSACIÓN VENTA,Pitch A,Solo teléfono (sin plataforma),"""Todo depende de que alguien coja el teléfono. El problema es que cuando estás con las manos ocupadas, las que llaman no tienen otra opción. Lo que hago es que cuando no coges una llamada, en 30 segundos le llega un WhatsApp desde el número del salón — le pregunta qué necesita, le busca hueco, y le da la cita. La clienta no espera. Tú no tienes que hacer nada. ¿Te lo enseño ahora mismo?""",Termina SIEMPRE pidiendo hacer la demo
2 - CONVERSACIÓN VENTA,Pitch B,Tiene Treatwell o Booksy,"""Perfecto — esto no lo sustituye. Treatwell te trae las reservas de la web, que es genial. Pero cuando alguien llama directamente al salón y no coges, eso no lo captura Treatwell. Esa llamada se pierde. Lo que hago es capturar esa llamada — le manda un WhatsApp, habla con ella, y le da cita en tu sistema. Complementario, no sustituto. ¿Quieres ver cómo funciona?""",Clave: complementario, no sustituto
2 - CONVERSACIÓN VENTA,Pitch C,Tiene empleada que ""a veces"" coge,"""Claro, y cuando está ella lo coge todo. Pero cuando está ocupada también, o cuando llega una llamada y las dos estáis en servicio — ahí es donde se escapa. Lo que hago es cubrir ese hueco: la llamada que no coge nadie. ¿Te enseño?""",No compares con la empleada — enmarca como complemento

2 - CONVERSACIÓN VENTA,Demo paso 1,Contextualiza,"""Mira, te voy a enseñar lo que le pasa a una clienta tuya cuando llama y no coges. Dame un segundo.""","Llamas desde tu móvil al número de Floux configurado para su salón. 30s después llega el WhatsApp."
2 - CONVERSACIÓN VENTA,Demo paso 2,Primer mensaje,"""Mira lo que le llega."" → Le enseñas: ""Hola, soy el asistente de [NOMBRE SALÓN]. ¿En qué te puedo ayudar?""","Nombre del salón correcto. No ""Hola soy el bot"". Su nombre."
2 - CONVERSACIÓN VENTA,Demo paso 3,Interacción,"""Ahora escribe lo que escribiría una clienta tuya. Lo que sea — una cita, una pregunta, lo que quieras.""","Momento WOW: el sistema responde con los servicios y precios DE SU SALÓN, no genéricos."
2 - CONVERSACIÓN VENTA,Demo paso 4,Cierre de demo,"""Eso es lo que le pasa a cada clienta que llama y no coges. En vez de colgar y llamar a otra peluquería, le llega esto. ¿Te lo dejo activo una semana y ves qué entra?""","No preguntes ""¿qué te parece?"" ni ""¿te interesa?"". Asume que sigue."

3 - OBJECIONES,Objeción 1,"""Es muy caro"" / ""No tengo presupuesto""","""Entiendo. Si pierdes tres llamadas al día — que es la media en salones de tu tamaño — a 35€ de cita media, son más de 3.000€ al mes que no entran. Esto son 97€. Con una sola clienta que recuperes ya te sale a cuenta. No te pido que confíes en mí — te pido que hagas el cálculo.""","Pausa. Deja que procese. Si sigue: ""¿Y si pruebas dos semanas? Si no entra ninguna clienta, lo paramos y no debes nada."""
3 - OBJECIONES,Objeción 1 (escalada),Sigue diciendo caro después del cálculo,"""Hay un plan más básico a 47€/mes. No hace la conversación completa — manda un WhatsApp con tu número y le dice que la llamas en cuanto puedas. Es el primer paso. ¿Quieres empezar por ahí?""",Ofrece un plan de entrada más bajo. Si esto tampoco funciona → no es el momento.

3 - OBJECIONES,Objeción 2,"""Ya tengo Treatwell / Booksy, no necesito nada más""","""Perfecto, entonces ya tienes las reservas online cubiertas. Pero fíjate: Treatwell te capta a las que buscan en internet. Lo mío es para cuando alguien llama directamente al salón y no coges. Eso Treatwell no lo ve. Son clientas diferentes — la que llama no siempre sabe usar la app. ¿Ves la diferencia?""",No es sustituto — es complementario. Si sigue sin verlo: ""Mira tus reseñas de Google — ¿hay alguna que diga que llamaron y no les cogieron?""
3 - OBJECIONES,Objeción 2 (con hook),Si tienes la reseña del research,"""De hecho vi una de [fecha] que decía exactamente eso.""",Momento de soltar el hook si no lo usaste al entrar

3 - OBJECIONES,Objeción 3,"""No me fío de la inteligencia artificial""","""Es lógico desconfiar — se ha vendido mucho humo. Por eso no te pido que me creas. Te enseño ahora mismo lo que le llega a una clienta, y si te parece que queda mal, no hay más conversación.""","NUNCA repitas ""inteligencia artificial"" aunque ella lo diga. La demo es la respuesta a esta objeción."
3 - OBJECIONES,Objeción 3 (post-demo),Sigue con dudas sobre el tono,"""¿Qué cambiarías del mensaje que ha salido? Puedo ajustar el tono, el nombre — lo que quieras. Es tu salón.""",Darle control sobre el producto reduce el miedo

3 - OBJECIONES,Objeción 4,"""Mis clientas prefieren llamar, no WhatsApp""","""Exacto, llaman. Y cuando coges, genial. Lo mío actúa SOLO cuando no coges — la que llama y no la atiende nadie, esa es la que recibe el WhatsApp. No es alternativa a la llamada, es el plan B cuando la llamada no funciona. ¿Cuántas clientas crees que llaman y simplemente cuelgan si no contestas?""","Si dice ""pocas"": ""¿Y si son dos al día? Son sesenta al mes. Alguna se va."""

3 - OBJECIONES,Objeción 5,"""Déjame pensarlo"" / ""Ya te llamo""","""Claro, por supuesto. ¿Hay algo concreto que no te cuadra? Prefiero que me lo digas ahora, que para eso estoy aquí.""","PAUSA LARGA. No rellenes el silencio. Si dice algo concreto → esa es la objeción real. Trátala."
3 - OBJECIONES,Objeción 5 (cierre),Si no dice nada concreto,"""Te dejo mi WhatsApp. Si le das vueltas y se te ocurre algo, me escribes. ¿Te parece bien si te mando un mensaje el jueves para ver cómo lo tienes?""",Concreta SIEMPRE el siguiente contacto. Esto no es presión — es estructura.

3 - OBJECIONES,Objeción 6,"""No pierdo llamadas, siempre contesto""","""¿Y cuando estáis todas con clientas a la vez? ¿O en los cinco minutos que tardas en cobrar y despedir a una mientras la siguiente ya está esperando?""","Pausa. Luego: ""No digo que no contestes — digo que hay momentos en que es físicamente imposible. Eso es lo que cubro yo."""
3 - OBJECIONES,Objeción 6 (escalada),Sigue insistiendo que no pierde llamadas,"""¿Cuándo fue la última vez que miraste el teléfono después de un servicio y había una llamada perdida?""",Casi siempre esto la hace pensar. Si genuinamente no pierde llamadas → no es tu ICP ahora mismo.

3 - OBJECIONES,Objeción 7,"""Ya probé algo parecido y no funcionó""","""¿Qué probaste? Cuéntame.""" (Escucha sin interrumpir),Deja que cuente toda la historia. Es información valiosa.
3 - OBJECIONES,Objeción 7 (respuesta),Después de escuchar,"""Entiendo. [Lo que probó] funciona diferente — es para que las clientas reserven por la app, que es otra batalla. Lo mío no te pide que cambies nada. Se conecta al número del salón y solo actúa cuando llaman y no coges. Sin apps nuevas, sin que tus clientas tengan que aprender nada.""",La demo aquí es especialmente potente. Ver la diferencia > explicarla.

3 - OBJECIONES,Objeción 8,"""No tengo tiempo para configurar nada nuevo""","""Por eso lo hago yo. Tú me das 15 minutos — me dices los servicios, el precio de cada uno, el horario, y cómo se llaman las chicas del equipo. Con eso a las 24h lo tienes funcionando. No tienes que instalar nada, no tienes que aprender ninguna app. Yo lo monto, tú lo revisas, y si te gusta, seguimos.""",15 minutos de su tiempo es todo lo que necesitas
3 - OBJECIONES,Objeción 8 (refuerzo),Si sigue con dudas de tiempo,"""De hecho, ya tengo parte montado con la información pública de tu salón. Si quieres te lo enseño ahora mismo y ves cuánto falta — probablemente menos de lo que piensas.""",Demuestra que ya hiciste el trabajo previo

3 - OBJECIONES,Objeción 9,"""Mi negocio va bien, no necesito cambiar nada""","""Perfecto — y por eso tiene sentido protegerlo. Lo que hago no cambia nada de cómo trabajas. Es para que cuando el salón va al 100% y estás liada, las que llaman y no puedes coger no se vayan a la competencia. Si va bien, imagina cómo iría sin perder esas.""","Enmarca como PROTECCIÓN, no como mejora. No defiendas el cambio."

3 - OBJECIONES,Objeción 10,"""¿Y si el cliente se da cuenta de que es una máquina?""","""Es la pregunta correcta. Por eso el sistema nunca pretende ser humano — se presenta como el asistente del salón, no como tú. Dice 'Hola, soy el asistente de [tu salón], ¿en qué te ayudo?' Igual que si tuvieras a alguien en el mostrador. La clienta sabe que habla con el asistente, y lo que quiere es coger cita — eso lo hace igual de bien.""","Si sigue: ""Mira la conversación de la demo. ¿Te parece que queda mal? ¿Qué cambiarías?"" → Darle control."

3 - OBJECIONES,Objeción 11,"""No quiero que nadie hable con mis clientes por mí""","""Y tienes razón — esa relación con tus clientas no te la quita nadie. Lo que hago es lo contrario: protegerla. Cuando no puedes coger el teléfono, la alternativa no es que hables tú — es que la clienta se vaya. Esto evita que se vaya. Cuando venga al salón, sigues siendo tú quien la atiende. Esto solo coge las que de otra forma se perdían.""",Objeción de orgullo de oficio. No contradigas — es legítimo y es lo mejor que tiene.

3 - OBJECIONES,Objeción 12,"""¿Quién eres tú? Eres muy joven para esto""","""Me llamo Max. Estoy montando Floux con salones del oeste de Madrid — Villaviciosa, Pozuelo, Majadahonda. Prefiero tener diez clientes bien atendidos que vender a toda España. Por eso trabajo personalmente con cada salón. Si quieres, te pongo en contacto con alguna dueña que ya lo tiene — que ella te cuente.""","No te disculpes por ser joven. Ofrece referencia real si la tienes. Si no: ""Aquí está mi IG — puedes ver en qué salones trabajo."""
3 - OBJECIONES,Objeción 13,"""Tengo una recepcionista que ya coge el teléfono""","""Qué bien. ¿Y cuando está con otra llamada o con una clienta en el mostrador a la vez que llega otra? ¿O cuando está en el baño? No digo que no haga bien su trabajo — digo que hay momentos en los que físicamente no puede coger todo. Eso es lo que cubro. Las que se escapan en esos momentos.""","NUNCA compares con la recepcionista. Enmarca hacia el volumen, no hacia la persona."

3 - OBJECIONES,Objeción 14,"""Estoy con contrato en otro sitio""","""¿Con quién? ¿Cuándo vence el contrato?""","Si hay contrato real con fecha: ""Podemos dejarlo preparado ahora y activarlo cuando venza."" Si es vago: ""¿Hay algo más que te frene aparte del contrato?"" → objeción real."
3 - OBJECIONES,Objeción 15,"""¿Y si quiero cancelar?""","""Sin permanencia. Mes a mes. Si en cualquier momento decides que no te vale, me avisas y lo paramos. Sin penas, sin letras pequeñas. No me interesa tenerte si no te está funcionando.""","Si pregunta por setup: ""El setup es una inversión de una vez — eso no se devuelve porque es el trabajo de montarlo. Pero la mensualidad, en cualquier momento."""

4 - FOLLOW-UP,Día 1,Mismo día o día siguiente (WhatsApp),"""Buenas [nombre]. Encantado de conocerte hoy. Te dejé el demo activo — si quieres trastear con él, escríbele como si fueras una clienta y ves qué pasa. Cualquier duda me escribes.""",No repitas el pitch. No añadas info nueva. Solo que recuerde la demo.
4 - FOLLOW-UP,Día 3,Si no ha respondido,"""[Nombre], ¿pudiste ver la demo? Sigo teniéndola activa para ti. Si tienes 5 minutos hoy o mañana te lo enseño en persona si quieres.""",Breve. Concreto. Ofrece la siguiente acción.
4 - FOLLOW-UP,Semana 1,Si sigue sin responder — añade dato nuevo,"""[Nombre], vi que tenéis [X reseñas en Google]. Esta semana entró una clienta nueva a una de las que trabajo — no habría llegado sin el sistema. ¿Le echamos una semana de prueba a tu salón?""","Si tienes hook específico (reseña negativa): úsalo aquí."
4 - FOLLOW-UP,Semana 2,Último intento activo,"""[Nombre], este es mi último mensaje por aquí. Si en algún momento quieres ver cómo funciona, me escribes y lo retomamos. Sin prisa.""",No hay más seguimiento activo después de este. Respétate y respétala.
4 - FOLLOW-UP,Mes 1+,Reactivación lead frío,"""[Nombre], hace un mes hablamos. Desde entonces recuperé [X citas] para otro salón de la zona. Si quieres ver cómo quedó, te lo cuento. Si no, sin problema.""",Un número concreto vale más que cualquier argumento. Usa resultados reales si los tienes.
4 - FOLLOW-UP,REGLA,Nunca te disculpes por hacer seguimiento,"NO empieces con ""perdona que te moleste"" ni ""sé que estás muy liada"". Vas como igual, con algo de valor.",La disculpa te pone en posición de súplica

5 - CIERRE,Cierre directo,Después de demo exitosa sin objeciones,"""Para montarlo para ti necesito 15 minutos — me dices los servicios, los precios, el horario, y el equipo. ¿Cuándo lo hacemos? ¿Esta semana te viene bien?""",No pides que firme nada. Pides 15 minutos para el onboarding.
5 - CIERRE,Cierre in situ,Si estás allí y dice que sí,"""¿Tienes 15 minutos ahora o prefieres que vuelva?""",Si dice ahora → saca el móvil y empieza. No le des tiempo a cambiar de opinión.

5 - CIERRE,Pricing,Cómo presentar el precio,"""El plan principal son 97€/mes, más 197€ de setup único. El setup es montarlo a tu medida — lo hago yo personalmente. Los 97€ son mantenerlo corriendo mes a mes. Sin permanencia.""","Pausa después. No rellenes. Si dice caro → Objeción 1."
5 - CIERRE,Pricing,Anchor ANTES de decir el precio,"""Se paga sola con una clienta recuperada al mes. Si el ticket medio es 35€, con 3 citas ya está cubierto. Lo demás es beneficio.""",Dilo SIEMPRE antes del precio. Ancla el valor.
5 - CIERRE,Pricing,Si pregunta qué incluye el setup,"""Monto tu salón completo — todos los servicios con precios, horario, equipo, tono de los mensajes. Lo probamos juntas. Y si en los primeros 15 días algo no está como quieres, lo ajusto sin coste.""",Setup = inversión en personalización

5 - CIERRE,Datos a recoger,En el momento del cierre,"1. Nombre dueña  2. Nombre salón (como quiere que aparezca)  3. WhatsApp del salón  4. Servicios + precio + duración  5. Nombres del equipo + qué hace cada uno  6. Horario (días, horas, pausas)  7. Email para confirmaciones","Recoge TODO ahora — no mañana, no por email."

5 - CIERRE,Entrega,Cuando el sistema está listo (24h),"""[Nombre], ya lo tienes activo. Escríbele como si fueras una clienta — pide cita, pregunta precio, prueba. Si algo no cuadra me dices y lo ajusto hoy mismo.""",Que lo pruebe ella misma antes de activarlo para clientas
5 - CIERRE,Bienvenida,Mensaje oficial de bienvenida,"""Hola [nombre]. Ya está todo listo. A partir de ahora, cuando una clienta llame y no puedas coger, le llega un WhatsApp desde el número del salón y le da cita. Tú recibes una notificación cada vez que entre una reserva. Esta semana estate atenta — si quieres cambiar algo del tono o los mensajes, me avisas y lo arreglo en el momento. Bienvenida.""",El primer mensaje oficial. Marca el inicio de la relación.

6 - RETENCIÓN,Check-in día 3,3 días después de activar,"""Hola [nombre], ¿cómo va todo? ¿Ha entrado algo ya por el sistema?""","Si SÍ entró cita: ""Eso es una clienta que sin esto no habría cogido cita."" Si NO entró: ""Normal, hay que esperar a que llegue una llamada que no puedas coger. La semana que viene verás."""
6 - RETENCIÓN,Check-in semana 1,7 días después de activar,"""Hola [nombre], ya llevas una semana. ¿Cuántos han entrado por el sistema?""","Si positivo: ""Eso ya cubre parte del coste del mes."" Si nada: ""¿Hubo semanas tranquilas? Vamos una semana más y si no entra nada, lo revisamos juntos."""
6 - RETENCIÓN,Check-in mes 1,30 días después de activar,"""Hola [nombre], ya llevas un mes. ¿Qué tal ha ido? ¿Quieres seguir?""","Pregunta directa. Darle la opción ANTES de que se sienta atrapada genera confianza."

6 - RETENCIÓN,Cancelación,"""Quiero cancelar"" en el primer mes","""Claro. Antes de hacerlo cuéntame qué ha pasado — ¿no ha entrado ninguna cita, o ha entrado pero ha habido algún problema con el sistema?""","Si técnico: ""Dime qué pasó y lo tengo resuelto hoy."" Si no entraron citas: diagnostica. Si insiste en cancelar: acepta sin pelea."
6 - RETENCIÓN,Cancelación,Aceptar cancelación con gracia,"""Entendido. Lo paro hoy mismo. Si en algún momento quieres volver a probarlo, aquí estoy.""",No pidas explicaciones. Salir bien de una cancelación vale más que retener a alguien que no está convencida.

CHULETA,Primeras palabras,,"""Tengo un sistema para salones que recupera las llamadas que se pierden cuando estáis liadas. ¿Dos minutos?""",Para llevar en el móvil antes de entrar
CHULETA,Pitch en 1 frase,,"""Cuando no coges una llamada, le llega un WhatsApp desde el número del salón y le da cita. Sin perderla.""",
CHULETA,Demo en 4 pasos,,"1. ""Mira lo que le pasa a una clienta cuando llama y no coges""  2. Llamas → llega WhatsApp con nombre del salón  3. ""Escríbele lo que escribiría una clienta""  4. ""¿Te lo dejo activo una semana?""",
CHULETA,Si dice caro,,"""Con una clienta recuperada al mes ya está cubierto. Son 97€.""",
CHULETA,Si dice que lo piensa,,"""¿Hay algo concreto que no te cuadra?"" → PAUSA LARGA""",
CHULETA,Pricing resumen,,"Entry: 97€/mes + 197€ setup | Básico: 47€/mes (si dice caro) | Growth: 147€/mes + 297€ setup",
CHULETA,3 palabras prohibidas,,"""IA"", ""bot"", ""robot""",NUNCA
CHULETA,Follow-up cadencia,,"Día 1, Día 3, Semana 1, Semana 2. Cuatro toques máximo. Luego pausa 1 mes.",